worker_id,paid,task_name,batch_name,unit_id,ngx_user_agent,ngx_os,ngx_browser,ngx_device,ngx_os_version,ngx_browser_version,ngx_device_type,ngx_orientation,nav_standalone,nav_hardware_concurrency,nav_webdriver,nav_max_touch_points,nav_cookie_enabled,nav_app_code_name,nav_app_name,nav_app_version,nav_platform,nav_product,nav_product_sub,nav_user_agent,nav_vendor,nav_vendor_sub,nav_language,nav_on_line,cf_fl,cf_h,cf_ip,cf_ts,cf_visit_scheme,cf_uag,cf_colo,cf_sliver,cf_http,cf_loc,cf_tls,cf_sni,cf_warp,cf_gateway,cf_kex,nav_connection_onchange,nav_connection_effective_type,nav_connection_rtt,nav_connection_downlink,nav_connection_save_data,nav_connection_type,nav_connection_downlink_max,nav_connection_ontypechange,nav_pdf_viewer_enabled,nav_device_memory,nav_window_controls_overlay_visible,nav_window_controls_overlay_ongeometrychange,nav_do_not_track,nav_oscpu,nav_build_i_d
TO5SRSVEVSUPUJ,True,SC_task1,SC_batch1,unit_7,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1",iOS,Safari,iPhone,iOS,16.1,mobile,portrait,False,4.0,False,5.0,True,Mozilla,Netscape,"5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1",iPhone,Gecko,20030107,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","Apple Computer, Inc.",,it-IT,True,270f49,www.cloudflare.com,62.19.251.133,1673443413.917,https,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1",MXP,none,http/2,IT,TLSv1.3,plaintext,off,off,X25519,,,,,,,,,,,,,,,
SKDKX9GZD4UH7L,False,SC_task1,SC_batch1,unit_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWAM2TV1SP4TU5,True,SC_task1,SC_batch1,unit_6,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Safari/605.1.15",Mac,Safari,Macintosh,mac-os-x-15,16.2,desktop,landscape,,8.0,False,0.0,True,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Safari/605.1.15",MacIntel,Gecko,20030107,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Safari/605.1.15","Apple Computer, Inc.",,it-IT,True,525f157,www.cloudflare.com,37.163.80.84,1673425587.012,https,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Safari/605.1.15",MXP,none,http/2,IT,TLSv1.3,plaintext,off,off,X25519,,,,,,,,,,,,,,,
BM539KK2W9AIRX,False,SC_task1,SC_batch1,unit_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIOF5FD2FK3W9F,True,SC_task1,SC_batch1,unit_5,"Mozilla/5.0 (Linux; Android 12; M2007J3SG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36",Android,Chrome,Android,unknown,108.0.0.0,mobile,portrait,,8.0,False,5.0,True,Mozilla,Netscape,"5.0 (Linux; Android 12; M2007J3SG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36",Linux aarch64,Gecko,20030107,"Mozilla/5.0 (Linux; Android 12; M2007J3SG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36",Google Inc.,,it-IT,True,270f77,www.cloudflare.com,94.125.83.226,1673425142.766,https,"Mozilla/5.0 (Linux; Android 12; M2007J3SG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36",MXP,none,http/2,IT,TLSv1.3,plaintext,off,off,X25519,,4g,50.0,1.65,False,wifi,,,False,8.0,,,,,
AQQPMWFVE949YW,False,SC_task1,SC_batch1,unit_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMDORB1186UKOF,True,SC_task1,SC_batch1,unit_3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",Windows,Chrome,Unknown,windows-10,108.0.0.0,desktop,landscape,,12.0,False,0.0,True,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",Win32,Gecko,20030107,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",Google Inc.,,it-IT,True,525f108,www.cloudflare.com,2a01:e11:600c:8a00:44a6:c761:9131:b78d,1673389681.19,https,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",MXP,none,http/2,IT,TLSv1.3,plaintext,off,off,X25519,,4g,50.0,10.0,False,,,,True,8.0,False,,,,
KFNXJP7XVSCPRX,True,SC_task1,SC_batch1,unit_10,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 OPR/94.0.0.0",Windows,Opera,Unknown,windows-10,94.0.0.0,desktop,landscape,,8.0,False,0.0,True,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 OPR/94.0.0.0",Win32,Gecko,20030107,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 OPR/94.0.0.0",Google Inc.,,en-US,True,520f72,www.cloudflare.com,190.2.132.213,1673537511.915,https,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 OPR/94.0.0.0",AMS,none,http/2,NL,TLSv1.3,plaintext,off,off,X25519,,4g,100.0,4.65,False,,,,True,8.0,False,,,,
NMXJ0KIWOLKHNV,True,SC_task1,SC_batch1,unit_9,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.3 Mobile/15E148 Safari/604.1",iOS,Safari,iPhone,iOS,15.6.3,mobile,portrait,False,4.0,False,5.0,True,Mozilla,Netscape,"5.0 (iPhone; CPU iPhone OS 15_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.3 Mobile/15E148 Safari/604.1",iPhone,Gecko,20030107,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.3 Mobile/15E148 Safari/604.1","Apple Computer, Inc.",,en-US,True,470f8,www.cloudflare.com,2606:54c0:3960:60::1d6:8,1673529749.917,https,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.3 Mobile/15E148 Safari/604.1",FRA,none,http/2,IT,TLSv1.3,plaintext,off,off,X25519,,,,,,,,,,,,,,,
B2PU87OELNL97V,True,SC_task1,SC_batch1,unit_1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:108.0) Gecko/20100101 Firefox/108.0,Windows,Firefox,Unknown,windows-10,108.0,desktop,landscape,,4.0,False,0.0,True,Mozilla,Netscape,5.0 (Windows),Win32,Gecko,20100101,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:108.0) Gecko/20100101 Firefox/108.0,,,it-IT,True,525f144,www.cloudflare.com,37.160.141.183,1673558839.874,https,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:108.0) Gecko/20100101 Firefox/108.0,MXP,none,http/2,IT,TLSv1.3,plaintext,off,off,X25519,,,,,,,,,True,,,,1,Windows NT 10.0; Win64; x64,20181001000000
RBG8K61JCTLLQD,True,SC_task1,SC_batch1,unit_0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0,Windows,Firefox,Unknown,windows-10,102.0,desktop,landscape,,4.0,False,0.0,True,Mozilla,Netscape,5.0 (Windows),Win32,Gecko,20100101,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0,,,en-US,True,270f23,www.cloudflare.com,82.52.110.200,1673388329.866,https,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0,MXP,none,http/2,IT,TLSv1.3,plaintext,off,off,X25519,,,,,,,,,True,,,,1,Windows NT 10.0; Win64; x64,20181001000000
VZCC04FR6OASDY,False,SC_task1,SC_batch1,unit_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XV8DEPZONNFP2D,False,SC_task1,SC_batch1,unit_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWNMYWGHKNZTW0,True,SC_task1,SC_batch1,unit_11,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",Windows,Chrome,Unknown,windows-10,108.0.0.0,desktop,landscape,,8.0,False,0.0,True,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",Win32,Gecko,20030107,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",Google Inc.,,it-IT,True,126f56,www.cloudflare.com,2a0e:425:18af:0:29e0:9e3c:2ffb:8190,1673547489.465,https,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",FCO,none,http/2,IT,TLSv1.3,plaintext,off,off,X25519,,4g,50.0,10.0,False,,,,True,8.0,False,,1,,
